  x y
  1.000000 -0.000000
  0.999016  0.000150
  0.996070  0.000598
  0.991171  0.001340
  0.984340  0.002366
  0.975602  0.003665
  0.964993  0.005223
  0.952552  0.007024
  0.938328  0.009047
  0.922377  0.011273
  0.904760  0.013679
  0.885547  0.016243
  0.864813  0.018940
  0.842639  0.021747
  0.819111  0.024638
  0.794321  0.027589
  0.768368  0.030575
  0.741353  0.033572
  0.713381  0.036553
  0.684564  0.039494
  0.655014  0.042369
  0.624848  0.045153
  0.594186  0.047818
  0.563147  0.050340
  0.531855  0.052691
  0.500434  0.054846
  0.469007  0.056777
  0.437699  0.058459
  0.406635  0.059869
  0.375938  0.060983
  0.345728  0.061781
  0.316128  0.062244
  0.287253  0.062356
  0.259220  0.062107
  0.232138  0.061489
  0.206117  0.060497
  0.180828  0.059049
  0.156724  0.056973
  0.134053  0.054316
  0.112912  0.051139
  0.093389  0.047507
  0.075563  0.043488
  0.059504  0.039149
  0.045272  0.034557
  0.032921  0.029777
  0.022491  0.024867
  0.014015  0.019883
  0.007518  0.014871
  0.003014  0.009869
  0.000508  0.004905
  0.000000  0.000000
  0.001465 -0.004708
  0.004872 -0.009088
  0.010195 -0.013139
  0.017402 -0.016865
  0.026453 -0.020272
  0.037303 -0.023371
  0.049900 -0.026172
  0.064190 -0.028692
  0.080109 -0.030950
  0.097594 -0.032968
  0.116575 -0.034774
  0.136978 -0.036395
  0.158729 -0.037867
  0.181748 -0.039224
  0.206098 -0.040498
  0.232035 -0.041521
  0.259027 -0.042217
  0.286968 -0.042593
  0.315748 -0.042664
  0.345255 -0.042442
  0.375373 -0.041948
  0.405984 -0.041199
  0.436967 -0.040220
  0.468203 -0.039031
  0.499566 -0.037658
  0.530935 -0.036123
  0.562186 -0.034450
  0.593196 -0.032662
  0.623841 -0.030780
  0.654003 -0.028825
  0.683561 -0.026816
  0.712398 -0.024773
  0.740401 -0.022714
  0.767459 -0.020654
  0.793464 -0.018611
  0.818313 -0.016600
  0.841908 -0.014638
  0.864155 -0.012738
  0.884966 -0.010917
  0.904257 -0.009189
  0.921951 -0.007570
  0.937979 -0.006074
  0.952276 -0.004715
  0.964784 -0.003506
  0.975454 -0.002460
  0.984243 -0.001588
  0.991116 -0.000899
  0.996045 -0.000402
  0.999010 -0.000101
  1.000000  0.000000
