  x y
  1.000216  0.000812
  0.999253  0.001164
  0.996367  0.002216
  0.991566  0.003954
  0.984868  0.006356
  0.976295  0.009391
  0.965876  0.013022
  0.953645  0.017202
  0.939645  0.021879
  0.923924  0.026996
  0.906538  0.032490
  0.887547  0.038293
  0.867020  0.044337
  0.845029  0.050550
  0.821656  0.056859
  0.796986  0.063190
  0.771110  0.069471
  0.744127  0.075632
  0.716138  0.081602
  0.687250  0.087316
  0.657575  0.092711
  0.627228  0.097729
  0.596329  0.102316
  0.565002  0.106423
  0.533372  0.110009
  0.501567  0.113036
  0.469718  0.115477
  0.437958  0.117309
  0.406417  0.118517
  0.374700  0.118921
  0.343330  0.118172
  0.312589  0.116300
  0.282625  0.113362
  0.253579  0.109434
  0.225588  0.104605
  0.198784  0.098975
  0.173288  0.092658
  0.149217  0.085774
  0.126675  0.078450
  0.105757  0.070816
  0.086549  0.063005
  0.069124  0.055147
  0.053548  0.047367
  0.039875  0.039785
  0.028148  0.032513
  0.018403  0.025650
  0.010665  0.019283
  0.004952  0.013486
  0.001271  0.008316
 -0.000377  0.003813
  0.000000  0.000000
  0.002351 -0.003024
  0.006615 -0.005177
  0.012761 -0.006479
  0.020751 -0.006963
  0.030540 -0.006671
  0.042075 -0.005656
  0.055298 -0.003980
  0.070145 -0.001714
  0.086548  0.001064
  0.104434  0.004269
  0.123730  0.007812
  0.144356  0.011598
  0.166236  0.015530
  0.189288  0.019507
  0.213431  0.023430
  0.238585  0.027200
  0.264668  0.030719
  0.291596  0.033894
  0.319286  0.036634
  0.347653  0.038857
  0.376610  0.040486
  0.406201  0.041465
  0.436709  0.042072
  0.467491  0.042431
  0.498433  0.042519
  0.529419  0.042318
  0.560331  0.041817
  0.591052  0.041011
  0.621462  0.039902
  0.651442  0.038500
  0.680875  0.036821
  0.709641  0.034887
  0.737627  0.032725
  0.764716  0.030368
  0.790800  0.027854
  0.815768  0.025221
  0.839518  0.022514
  0.861949  0.019776
  0.882966  0.017052
  0.902479  0.014387
  0.920403  0.011824
  0.936662  0.009406
  0.951182  0.007171
  0.963901  0.005157
  0.974761  0.003394
  0.983715  0.001913
  0.990721  0.000735
  0.995748 -0.000120
  0.998774 -0.000638
  0.999784 -0.000812
